passengerId,longestRun
2975,16
2939,15
8562,15
760,15
3573,15
8590,14
2926,14
2935,14
3600,14
755,14
2982,14
8363,13
7643,13
917,13
8961,12
1982,12
1053,12
3565,12
2967,11
1858,11
746,11
2906,11
2992,11
3466,11
1095,11
2973,11
8519,10
739,10
3589,10
749,10
6180,10
2247,9
6176,9
2678,9
10352,9
3593,9
1089,9
6146,9
3509,9
9513,9
309,9
494,9
771,9
5942,9
3590,9
3576,9
2285,9
334,9
281,9
3503,9
6148,9
1012,9
2976,9
1198,8
10346,8
7271,8
6165,8
8563,8
2964,8
3563,8
2937,8
6107,8
8441,8
9598,8
2254,8
2960,8
751,8
313,8
4850,8
2295,8
6135,8
2238,7
10128,7
2261,7
4293,7
3528,7
8511,7
3967,7
7220,7
6160,7
8566,7
4210,7
5319,7
6175,7
2719,7
7073,7
3510,7
5686,7
3540,7
2934,7
3524,7
6154,6
2601,6
3990,6
3975,6
3567,6
9548,6
8516,6
2957,6
3570,6
7230,6
10396,6
3925,6
6171,6
2232,6
2203,6
10313,6
3584,6
2286,6
7083,6
2271,6
3511,6
3588,6
1607,6
6730,6
2234,6
4767,6
2636,6
8922,6
9581,6
2293,6
2953,6
2925,6
2208,6
7253,5
1084,5
1533,5
2225,5
3611,5
6152,5
1056,5
9592,5
7001,5
10311,5
7285,5
5056,5
8551,5
340,5
6182,5
7014,5
7693,5
8533,5
10141,5
10154,5
1236,5
2966,5
7279,5
10356,5
759,5
4217,5
7590,5
10384,5
11870,5
3594,5
3432,5
2908,5
2916,5
778,5
7162,5
10819,5
1534,5
11716,5
7240,4
8803,4
3000,4
6598,4
1223,4
53,4
5867,4
8514,4
2595,4
7244,4
2237,4
22,4
5953,4
7033,4
8037,4
2612,4
7228,4
8587,4
734,4
6694,4
7226,4
4510,4
7280,4
2950,4
5109,4
11652,4
2220,4
1045,4
615,4
1271,4
5191,4
1641,4
8269,4
9267,4
8565,4
3926,4
10473,4
8572,4
2516,4
2980,4
3508,4
6547,4
2207,4
8505,4
9587,4
2300,4
2472,4
913,4
1430,4
7298,4
8554,4
10856,4
2949,4
7834,4
10145,4
10399,4
2265,4
10110,4
5518,3
5287,3
9517,3
9403,3
11642,3
10241,3
1378,3
9957,3
3445,3
3411,3
2134,3
707,3
2288,3
7266,3
9568,3
10344,3
3498,3
3336,3
305,3
348,3
2281,3
10877,3
3539,3
2489,3
4781,3
3663,3
11610,3
258,3
2268,3
8558,3
5579,3
7291,3
4647,3
10109,3
3517,3
12959,3
7213,3
3330,3
5946,3
8589,3
3955,3
7204,3
10163,3
5560,3
8299,3
8598,3
7268,3
7632,3
3660,3
7187,3
6198,3
9527,3
1041,3
6570,3
2921,3
7229,3
10181,3
13159,3
1007,3
5696,3
793,3
12958,3
6613,3
921,3
2260,3
10938,3
8508,3
7201,3
8540,3
10159,3
10830,3
1038,3
2541,3
11084,3
3525,3
9555,3
8541,3
9557,3
4287,3
5587,3
7273,3
14288,3
4541,3
11730,3
204,3
6186,3
10596,3
4242,3
2264,3
2476,3
3191,3
1684,3
3535,3
10123,3
10175,3
3585,3
9503,3
2504,3
3809,3
7364,3
7246,3
7255,3
1044,3
1928,3
7245,3
2182,3
6524,3
10857,3
315,3
3568,3
3846,3
3523,3
5911,3
8105,2
8534,2
6237,2
6188,2
3235,2
1135,2
3744,2
7823,2
1942,2
10166,2
6116,2
6706,2
9340,2
4102,2
770,2
9298,2
7705,2
8532,2
8594,2
10838,2
3655,2
11701,2
2150,2
7097,2
8591,2
3766,2
1635,2
7393,2
10796,2
2164,2
7645,2
6065,2
7640,2
1340,2
9766,2
6848,2
2440,2
10137,2
8581,2
11676,2
8528,2
10149,2
9201,2
9540,2
8959,2
10129,2
167,2
5497,2
8561,2
10308,2
8397,2
10125,2
11938,2
5027,2
6749,2
12902,2
1767,2
8149,2
5310,2
11814,2
10151,2
2478,2
11746,2
11798,2
529,2
10160,2
3758,2
6972,2
4303,2
3148,2
6527,2
6735,2
8599,2
8882,2
11860,2
3226,1
10303,1
13220,1
13052,1
844,1
2062,1
6717,1
5370,1
7699,1
13589,1
6480,1
386,1
6720,1
10136,1
7008,1
7660,1
10574,1
1994,1
7470,1
4314,1
6992,1
7037,1
11631,1
8824,1
6748,1
5048,1
9613,1
5540,1
4223,1
7038,1
6739,1
5608,1
4248,1
1075,1
5076,1
5542,1
13083,1
3158,1
1963,1
5092,1
5885,1
5563,1
6763,1
7002,1
6726,1
9145,1
2075,1
9676,1
863,1
2634,1
5502,1
6736,1
2562,1
6723,1
7094,1
3223,1
6310,1
1228,1
7820,1
10821,1
652,1
9509,1
6905,1
3668,1
833,0
2659,0
3175,0
6357,0
6397,0
7754,0
7833,0
8389,0
8592,0
9465,0
10206,0
10817,0
12046,0
12799,0
12940,0
392,0
737,0
1025,0
1460,0
2235,0
2999,0
3179,0
4219,0
5614,0
6393,0
6773,0
9182,0
10121,0
2996,0
4391,0
6482,0
6825,0
7281,0
7387,0
8222,0
8257,0
10862,0
11639,0
13910,0
14289,0
2231,0
2259,0
2443,0
2525,0
2923,0
4078,0
4364,0
5074,0
5482,0
7098,0
8109,0
13916,0
879,0
2249,0
2392,0
2924,0
3561,0
3566,0
4000,0
5433,0
6962,0
8501,0
8577,0
9206,0
9597,0
9775,0
10395,0
10815,0
10840,0
799,0
